cian_id,url,object_type,price_month,area_sqm,price_sqm_month,address,district,okrug,metro_station,metro_walk_min,floor,floors_total,building_class,building_type,renovation,has_furniture,has_ac,has_ventilation,ceiling_height_m,photos_count,source
326829055,https://www.cian.ru/rent/commercial/326829055/,Офис,3600000,4000.0,900.0,"Варшавское, 170Г",Чертаново Южное,ЮАО,Аннино,9.0,1,5,,,,,,,,5,cloudscraper
328558674,https://www.cian.ru/rent/commercial/328558674/,Офис,480000,400.0,1200.0,"Варшавское, 170Г",Чертаново Южное,ЮАО,Аннино,9.0,1,5,,,,,,,,5,cloudscraper
328572907,https://www.cian.ru/rent/commercial/328572907/,Офис,7415010,2556.9,2900.0,"Верхняя Красносельская, 3А",Красносельский,ЦАО,Красносельская,10.0,5,5,B,,,,,,,24,cloudscraper
289475542,https://www.cian.ru/rent/commercial/289475542/,Офис,129613,100.8,1285.8,"Научный, 8С1",Черемушки,ЮЗАО,Калужская,11.0,-1,6,B,,,False,,,,47,cloudscraper
329439451,https://www.cian.ru/rent/commercial/329439451/,Офис,136152,72.0,1891.0,"Выборгская, 22С1",Войковский,САО,Водный стадион,17.0,6,6,B,,,,,,,13,cloudscraper
329182711,https://www.cian.ru/rent/commercial/329182711/,Офис,136152,72.0,1891.0,"Выборгская, 22С1",Войковский,САО,Водный стадион,17.0,6,6,B,,,,,,,13,cloudscraper
306607073,https://www.cian.ru/rent/commercial/306607073/,Офис,7764250,1433.4,5416.7,"Рочдельская, 15С13",Пресненский,ЦАО,Краснопресненская,15.0,1,4,,Бизнес-центр,,,,,,33,cloudscraper
326029634,https://www.cian.ru/rent/commercial/326029634/,Офис,871000,261.3,3333.3,"Малая Дмитровка, 23/15С1",Тверской,ЦАО,Маяковская,9.0,2,6,,,,,,,,26,cloudscraper
329483694,https://www.cian.ru/rent/commercial/329483694/,Офис,2083334,500.0,4166.7,"Золоторожский Вал, 11С1",Лефортово,ЮВАО,Площадь Ильича,5.0,1,2,C,,,,,,,10,cloudscraper
329037951,https://www.cian.ru/rent/commercial/329037951/,Офис,307207,162.4,1891.7,"Смольная, 14",Головинский,САО,Речной вокзал,16.0,1,15,B,Бизнес-центр,,,,,,19,cloudscraper
323347305,https://www.cian.ru/rent/commercial/323347305/,Офис,575000,138.2,4160.6,"Трехпрудный, 4С1",Тверской,ЦАО,Пушкинская,4.0,3,6,B,,,,,,,6,cloudscraper
328749208,https://www.cian.ru/rent/commercial/328749208/,Офис,2230213,416.0,5361.1,"3-я Песчаная, 2А",Хорошевский,САО,Зорге,11.0,4,38,A,Бизнес-центр,,,,,,15,cloudscraper
327537907,https://www.cian.ru/rent/commercial/327537907/,Офис,2928250,540.6,5416.7,"Хохловский, 13С1",Басманный,ЦАО,Китай-город,10.0,3,4,B,Бизнес-центр,,,,,,25,cloudscraper
328847474,https://www.cian.ru/rent/commercial/328847474/,Офис,218600,105.4,2074.0,"4922-й, 4с5",Старое Крюково,ЗелАО,,,2,4,B,,,False,,,,13,cloudscraper
328704485,https://www.cian.ru/rent/commercial/328704485/,Офис,221918,107.0,2074.0,"4922-й, 4с3",Старое Крюково,ЗелАО,,,2,4,,,,False,,,,8,cloudscraper
329819366,https://www.cian.ru/rent/commercial/329819366/,Офис,5407200,1365.2,3960.7,"Докучаев, 8",Красносельский,ЦАО,Площадь трёх вокзалов,8.0,4,4,B,Бизнес-центр,,,,,,26,cloudscraper
322491104,https://www.cian.ru/rent/commercial/322491104/,Офис,378015,213.9,1767.3,"2-й Павелецкий, 5С1",Даниловский,ЮАО,,,3,8,B,Бизнес-центр,,,,,,21,cloudscraper
328922140,https://www.cian.ru/rent/commercial/328922140/,Офис,8732500,1497.0,5833.3,"Большая Полянка, 2С2",Якиманка,ЦАО,Полянка,8.0,1,4,B,,,True,,,,24,cloudscraper
308761689,https://www.cian.ru/rent/commercial/308761689/,Офис,800000,283.9,2817.9,"Верхняя Масловка, 20С1",Савеловский,САО,Петровский Парк,7.0,-1,8,,,,,,,,34,cloudscraper
329483329,https://www.cian.ru/rent/commercial/329483329/,Офис,2083334,500.0,4166.7,"Золоторожский Вал, 11С1",Лефортово,ЮВАО,Римская,5.0,1,2,C,,,,,,,15,cloudscraper
327969866,https://www.cian.ru/rent/commercial/327969866/,Офис,215000,91.3,2354.9,"Складочная, 1С18",Бутырский,СВАО,Савёловская,16.0,2,4,B,,,,,,,4,cloudscraper
295111075,https://www.cian.ru/rent/commercial/295111075/,Офис,105667,63.4,1666.7,"Вернадского, 105",Тропарево-Никулино,ЗАО,Юго-Западная,5.0,2,3,,Торговый центр,,False,,,,9,cloudscraper
328747575,https://www.cian.ru/rent/commercial/328747575/,Офис,4915258,1371.7,3583.3,"Лихачева, 5",Даниловский,ЮАО,ЗИЛ,12.0,3,6,A,Бизнес-центр,,,,,,20,cloudscraper
321607302,https://www.cian.ru/rent/commercial/321607302/,Офис,1089360,996.0,1093.7,"Киевское шоссе, 22-й, 4с5кЕ",,НАО (Новомосковский),Румянцево,7.0,8,9,B,,,False,,,,61,cloudscraper
328708499,https://www.cian.ru/rent/commercial/328708499/,Офис,2910991,485.3,5998.3,"Чистопрудный, 17С1",Басманный,ЦАО,Чистые пруды,7.0,4,8,A,Бизнес-центр,,,,,,20,cloudscraper
329733855,https://www.cian.ru/rent/commercial/329733855/,Офис,41250,19.8,2083.3,"Шумкина, 20С1",Сокольники,ВАО,Сокольники,10.0,1,7,B,Бизнес-центр,,False,,,4.2,9,cloudscraper
329663786,https://www.cian.ru/rent/commercial/329663786/,Офис,73200,36.6,2000.0,"Шумкина, 20С1",Сокольники,ВАО,Сокольники,10.0,7,7,B,Бизнес-центр,,False,,,4.2,9,cloudscraper
